id	name	symbol	hydrogens	hbond_donor_in_data_py	hbond_acceptor_in_data_py	in_hbond_poly_donor_keys	in_hbond_poly_acceptor_keys
0	BROMINE	Br	0	False	False	False	False
1	CHLORINE	Cl	0	False	False	False	False
2	FLUORINE	F	0	False	False	False	False
3	IODINE	I	0	False	False	False	False
4	CARBON_CH3	C	3	False	False	False	False
5	CARBON_AROMATIC	C	1	False	False	False	False
6	CARBON_CH2	C	2	False	False	False	False
7	CARBON_BONDED_1	C	2	False	False	False	False
8	CARBON_BONDED_1_DOUBLE_BOND	C	1	False	False	False	False
9	CARBON_BONDED_2	C	1	False	False	False	False
10	CARBON_BONDED_3	C	0	False	False	False	False
11	CARBON_TRIPLE_BOND	C	1	False	False	False	False
12	CARBON_TRIPLE_BOND_BONDED	C	0	False	False	False	False
13	NITROGEN	N	2	True	True	True	True
14	NITROGEN_AROMATIC	N	0	False	True	False	True
15	NITROGEN_BONDED_1	N	1	True	True	True	True
13	NITROGEN_DOUBLE_BOND	N	1	True	True	True	True
43	NITROGEN_TRPNE1	N	1	True	False	True	False
43	NITROGEN_ASNGLN	N	2	True	False	True	False
17	NITROGEN_TRIPLE_BOND	N	0	False	True	False	True
18	NITROGEN_BONDED_3	N	0	False	True	False	True
19	OXYGEN	O	1	True	True	True	True
20	OXYGEN_AROMATIC	O	0	False	True	False	True
21	OXYGEN_DOUBLE_BOND	O	0	False	True	False	True
22	OXYGEN_BONDED	O	0	False	True	False	True
23	PHOSPHORUS	P		True	True	True	True
24	SULPHUR	S	1	True	True	True	True
25	SULPHUR_AROMATIC	S	0	False	True	False	True
26	SULPHUR_DOUBLE_BOND	S	0	False	True	False	True
27	SULPHUR_BONDED	S	0	False	False	False	True
28	WATER	O	2	True	True	True	True
29	NITROGEN_DOUBLE_BOND_BONDED	N	0	False	False	False	False
30	CARBON_BONDED_4_DOUBLE_BOND	C	0	False	False	False	False
31	CARBON_BONDED_5_DOUBLE_BOND	C	0	False	False	False	False
15	CHARGED_NITROGEN_1	N	1	True	True	True	True
15	CHARGED_NITROGEN_8	N	0	True	True	True	True
15	CHARGED_NITROGEN_2	N	2	True	True	True	True
13	CHARGED_NITROGEN_3	N	3	True	True	True	True
13	CHARGED_NITROGEN_4	N	3	True	True	True	True
19	CHARGE_OXYGEN	O	0	True	True	True	True
37	AMIDE_N	N	1	True	False	True	False
38	AMIDE_O	O	0	False	True	False	True
39	PEPTIDE_O	O	0	False	True	False	True
40	PEPTIDE_N	N	1	True	False	True	False
41	PO4_OXYGEN_DOUBLE_BOND	O	0	False	True	False	True
42	PO4_OXYGEN_DONOR	O	1	True	False	True	False
13	CHARGED_NITROGEN_5	N	2	True	True	True	True
15	CHARGED_NITROGEN_6	N	1	True	True	True	True
15	CHARGED_NITROGEN_7	N	0	True	True	True	True
43	CHARGED_NITROGEN_AROMATIC	N	1	True	False	True	False
27	SULPHUR_SULPONATE_GENERAL	S	0	False	False	False	True
